timestamp,event.staypoint_subzone,event.footfall,timestamp.1,event.staypoint_subzone.1,event.footfall.1,timestamp.2,event.staypoint_subzone.2,event.footfall.2,timestamp.3,event.staypoint_subzone.3,event.footfall.3,timestamp.4,event.staypoint_subzone.4,event.footfall.4,timestamp.5,event.staypoint_subzone.5,event.footfall.5,timestamp.6,event.staypoint_subzone.6,event.footfall.6,timestamp.7,event.staypoint_subzone.7,event.footfall.7,timestamp.8,event.staypoint_subzone.8,event.footfall.8,timestamp.9,event.staypoint_subzone.9,event.footfall.9,timestamp.10,event.staypoint_subzone.10,event.footfall.10,timestamp.11,event.staypoint_subzone.11,event.footfall.11,timestamp.12,event.staypoint_subzone.12,event.footfall.12,timestamp.13,event.staypoint_subzone.13,event.footfall.13,timestamp.14,event.staypoint_subzone.14,event.footfall.14,timestamp.15,event.staypoint_subzone.15,event.footfall.15,timestamp.16,event.staypoint_subzone.16,event.footfall.16,timestamp.17,event.staypoint_subzone.17,event.footfall.17,timestamp.18,event.staypoint_subzone.18,event.footfall.18,timestamp.19,event.staypoint_subzone.19,event.footfall.19,timestamp.20,event.staypoint_subzone.20,event.footfall.20,timestamp.21,event.staypoint_subzone.21,event.footfall.21,timestamp.22,event.staypoint_subzone.22,event.footfall.22,
1,2017-05-30T00:00:00.000+08:00,OTSZ02,953,2017-05-30T01:00:00.000+08:00,OTSZ02,123,2017-05-30T02:00:00.000+08:00,OTSZ02,40,2017-05-30T03:00:00.000+08:00,OTSZ02,45,2017-05-30T04:00:00.000+08:00,OTSZ02,50,2017-05-30T05:00:00.000+08:00,OTSZ02,55,2017-05-30T06:00:00.000+08:00,OTSZ02,136,2017-05-30T07:00:00.000+08:00,OTSZ02,344,2017-05-30T08:00:00.000+08:00,OTSZ02,425,2017-05-30T09:00:00.000+08:00,OTSZ02,521,2017-05-30T10:00:00.000+08:00,OTSZ02,563,2017-05-30T11:00:00.000+08:00,OTSZ02,614,2017-05-30T12:00:00.000+08:00,OTSZ02,609,2017-05-30T13:00:00.000+08:00,OTSZ02,598,2017-05-30T14:00:00.000+08:00,OTSZ02,571,2017-05-30T15:00:00.000+08:00,OTSZ02,522,2017-05-30T16:00:00.000+08:00,OTSZ02,504,2017-05-30T17:00:00.000+08:00,OTSZ02,574,2017-05-30T18:00:00.000+08:00,OTSZ02,917,2017-05-30T19:00:00.000+08:00,OTSZ02,737,2017-05-30T20:00:00.000+08:00,OTSZ02,447,2017-05-30T21:00:00.000+08:00,OTSZ02,259,2017-05-30T22:00:00.000+08:00,OTSZ02,162
1,2017-05-30T00:00:00.000+08:00,PLSZ04,423,2017-05-30T01:00:00.000+08:00,PLSZ04,186,2017-05-30T02:00:00.000+08:00,PLSZ04,101,2017-05-30T03:00:00.000+08:00,PLSZ04,50,2017-05-30T04:00:00.000+08:00,PLSZ04,58,2017-05-30T05:00:00.000+08:00,PLSZ04,104,2017-05-30T06:00:00.000+08:00,PLSZ04,209,2017-05-30T07:00:00.000+08:00,PLSZ04,882,2017-05-30T08:00:00.000+08:00,PLSZ04,693,2017-05-30T09:00:00.000+08:00,PLSZ04,536,2017-05-30T10:00:00.000+08:00,PLSZ04,444,2017-05-30T11:00:00.000+08:00,PLSZ04,427,2017-05-30T12:00:00.000+08:00,PLSZ04,594,2017-05-30T13:00:00.000+08:00,PLSZ04,613,2017-05-30T14:00:00.000+08:00,PLSZ04,540,2017-05-30T15:00:00.000+08:00,PLSZ04,510,2017-05-30T16:00:00.000+08:00,PLSZ04,514,2017-05-30T17:00:00.000+08:00,PLSZ04,300,2017-05-30T18:00:00.000+08:00,PLSZ04,232,2017-05-30T19:00:00.000+08:00,PLSZ04,217,2017-05-30T20:00:00.000+08:00,PLSZ04,198,2017-05-30T21:00:00.000+08:00,PLSZ04,167,2017-05-30T22:00:00.000+08:00,PLSZ04,95
1,2017-05-30T00:00:00.000+08:00,BMSZ07,10737,2017-05-30T01:00:00.000+08:00,BMSZ07,1713,2017-05-30T02:00:00.000+08:00,BMSZ07,254,2017-05-30T03:00:00.000+08:00,BMSZ07,190,2017-05-30T04:00:00.000+08:00,BMSZ07,244,2017-05-30T05:00:00.000+08:00,BMSZ07,428,2017-05-30T06:00:00.000+08:00,BMSZ07,900,2017-05-30T07:00:00.000+08:00,BMSZ07,2749,2017-05-30T08:00:00.000+08:00,BMSZ07,5423,2017-05-30T09:00:00.000+08:00,BMSZ07,4550,2017-05-30T10:00:00.000+08:00,BMSZ07,3303,2017-05-30T11:00:00.000+08:00,BMSZ07,2905,2017-05-30T12:00:00.000+08:00,BMSZ07,3056,2017-05-30T13:00:00.000+08:00,BMSZ07,3148,2017-05-30T14:00:00.000+08:00,BMSZ07,2669,2017-05-30T15:00:00.000+08:00,BMSZ07,2687,2017-05-30T16:00:00.000+08:00,BMSZ07,2574,2017-05-30T17:00:00.000+08:00,BMSZ07,2789,2017-05-30T18:00:00.000+08:00,BMSZ07,3357,2017-05-30T19:00:00.000+08:00,BMSZ07,2932,2017-05-30T20:00:00.000+08:00,BMSZ07,2271,2017-05-30T21:00:00.000+08:00,BMSZ07,1577,2017-05-30T22:00:00.000+08:00,BMSZ07,782
1,2017-05-30T00:00:00.000+08:00,BMSZ06,1944,2017-05-30T01:00:00.000+08:00,BMSZ06,167,2017-05-30T02:00:00.000+08:00,BMSZ06,47,2017-05-30T03:00:00.000+08:00,BMSZ06,46,2017-05-30T04:00:00.000+08:00,BMSZ06,43,2017-05-30T05:00:00.000+08:00,BMSZ06,72,2017-05-30T06:00:00.000+08:00,BMSZ06,143,2017-05-30T07:00:00.000+08:00,BMSZ06,427,2017-05-30T08:00:00.000+08:00,BMSZ06,622,2017-05-30T09:00:00.000+08:00,BMSZ06,572,2017-05-30T10:00:00.000+08:00,BMSZ06,405,2017-05-30T11:00:00.000+08:00,BMSZ06,315,2017-05-30T12:00:00.000+08:00,BMSZ06,292,2017-05-30T13:00:00.000+08:00,BMSZ06,340,2017-05-30T14:00:00.000+08:00,BMSZ06,358,2017-05-30T15:00:00.000+08:00,BMSZ06,317,2017-05-30T16:00:00.000+08:00,BMSZ06,365,2017-05-30T17:00:00.000+08:00,BMSZ06,387,2017-05-30T18:00:00.000+08:00,BMSZ06,435,2017-05-30T19:00:00.000+08:00,BMSZ06,443,2017-05-30T20:00:00.000+08:00,BMSZ06,305,2017-05-30T21:00:00.000+08:00,BMSZ06,321,2017-05-30T22:00:00.000+08:00,BMSZ06,155
1,2017-05-30T00:00:00.000+08:00,GLSZ04,48326,2017-05-30T01:00:00.000+08:00,GLSZ04,7773,2017-05-30T02:00:00.000+08:00,GLSZ04,1966,2017-05-30T03:00:00.000+08:00,GLSZ04,1704,2017-05-30T04:00:00.000+08:00,GLSZ04,1351,2017-05-30T05:00:00.000+08:00,GLSZ04,2083,2017-05-30T06:00:00.000+08:00,GLSZ04,3717,2017-05-30T07:00:00.000+08:00,GLSZ04,6618,2017-05-30T08:00:00.000+08:00,GLSZ04,9489,2017-05-30T09:00:00.000+08:00,GLSZ04,8250,2017-05-30T10:00:00.000+08:00,GLSZ04,7615,2017-05-30T11:00:00.000+08:00,GLSZ04,8019,2017-05-30T12:00:00.000+08:00,GLSZ04,8247,2017-05-30T13:00:00.000+08:00,GLSZ04,7854,2017-05-30T14:00:00.000+08:00,GLSZ04,7792,2017-05-30T15:00:00.000+08:00,GLSZ04,7567,2017-05-30T16:00:00.000+08:00,GLSZ04,7945,2017-05-30T17:00:00.000+08:00,GLSZ04,9320,2017-05-30T18:00:00.000+08:00,GLSZ04,14706,2017-05-30T19:00:00.000+08:00,GLSZ04,15343,2017-05-30T20:00:00.000+08:00,GLSZ04,11381,2017-05-30T21:00:00.000+08:00,GLSZ04,8876,2017-05-30T22:00:00.000+08:00,GLSZ04,5283
1,2017-05-30T00:00:00.000+08:00,BTSZ01,14999,2017-05-30T01:00:00.000+08:00,BTSZ01,2151,2017-05-30T02:00:00.000+08:00,BTSZ01,456,2017-05-30T03:00:00.000+08:00,BTSZ01,371,2017-05-30T04:00:00.000+08:00,BTSZ01,428,2017-05-30T05:00:00.000+08:00,BTSZ01,779,2017-05-30T06:00:00.000+08:00,BTSZ01,1351,2017-05-30T07:00:00.000+08:00,BTSZ01,4354,2017-05-30T08:00:00.000+08:00,BTSZ01,6418,2017-05-30T09:00:00.000+08:00,BTSZ01,5423,2017-05-30T10:00:00.000+08:00,BTSZ01,4388,2017-05-30T11:00:00.000+08:00,BTSZ01,3977,2017-05-30T12:00:00.000+08:00,BTSZ01,4367,2017-05-30T13:00:00.000+08:00,BTSZ01,3811,2017-05-30T14:00:00.000+08:00,BTSZ01,3282,2017-05-30T15:00:00.000+08:00,BTSZ01,3119,2017-05-30T16:00:00.000+08:00,BTSZ01,3376,2017-05-30T17:00:00.000+08:00,BTSZ01,3920,2017-05-30T18:00:00.000+08:00,BTSZ01,5423,2017-05-30T19:00:00.000+08:00,BTSZ01,4884,2017-05-30T20:00:00.000+08:00,BTSZ01,3630,2017-05-30T21:00:00.000+08:00,BTSZ01,2901,2017-05-30T22:00:00.000+08:00,BTSZ01,1415
1,2017-05-30T00:00:00.000+08:00,SESZ04,21555,2017-05-30T01:00:00.000+08:00,SESZ04,2620,2017-05-30T02:00:00.000+08:00,SESZ04,570,2017-05-30T03:00:00.000+08:00,SESZ04,416,2017-05-30T04:00:00.000+08:00,SESZ04,452,2017-05-30T05:00:00.000+08:00,SESZ04,954,2017-05-30T06:00:00.000+08:00,SESZ04,1917,2017-05-30T07:00:00.000+08:00,SESZ04,5150,2017-05-30T08:00:00.000+08:00,SESZ04,3833,2017-05-30T09:00:00.000+08:00,SESZ04,2665,2017-05-30T10:00:00.000+08:00,SESZ04,2246,2017-05-30T11:00:00.000+08:00,SESZ04,2518,2017-05-30T12:00:00.000+08:00,SESZ04,2342,2017-05-30T13:00:00.000+08:00,SESZ04,2734,2017-05-30T14:00:00.000+08:00,SESZ04,2396,2017-05-30T15:00:00.000+08:00,SESZ04,2620,2017-05-30T16:00:00.000+08:00,SESZ04,2592,2017-05-30T17:00:00.000+08:00,SESZ04,3326,2017-05-30T18:00:00.000+08:00,SESZ04,4739,2017-05-30T19:00:00.000+08:00,SESZ04,4709,2017-05-30T20:00:00.000+08:00,SESZ04,4076,2017-05-30T21:00:00.000+08:00,SESZ04,3268,2017-05-30T22:00:00.000+08:00,SESZ04,1602
1,2017-05-30T00:00:00.000+08:00,AMSZ01,1928,2017-05-30T01:00:00.000+08:00,AMSZ01,292,2017-05-30T02:00:00.000+08:00,AMSZ01,77,2017-05-30T03:00:00.000+08:00,AMSZ01,51,2017-05-30T04:00:00.000+08:00,AMSZ01,54,2017-05-30T05:00:00.000+08:00,AMSZ01,157,2017-05-30T06:00:00.000+08:00,AMSZ01,360,2017-05-30T07:00:00.000+08:00,AMSZ01,861,2017-05-30T08:00:00.000+08:00,AMSZ01,1114,2017-05-30T09:00:00.000+08:00,AMSZ01,1153,2017-05-30T10:00:00.000+08:00,AMSZ01,1388,2017-05-30T11:00:00.000+08:00,AMSZ01,1392,2017-05-30T12:00:00.000+08:00,AMSZ01,1408,2017-05-30T13:00:00.000+08:00,AMSZ01,1443,2017-05-30T14:00:00.000+08:00,AMSZ01,1416,2017-05-30T15:00:00.000+08:00,AMSZ01,1494,2017-05-30T16:00:00.000+08:00,AMSZ01,1696,2017-05-30T17:00:00.000+08:00,AMSZ01,1816,2017-05-30T18:00:00.000+08:00,AMSZ01,2975,2017-05-30T19:00:00.000+08:00,AMSZ01,2511,2017-05-30T20:00:00.000+08:00,AMSZ01,1589,2017-05-30T21:00:00.000+08:00,AMSZ01,894,2017-05-30T22:00:00.000+08:00,AMSZ01,404
1,2017-05-30T00:00:00.000+08:00,DTSZ10,2475,2017-05-30T01:00:00.000+08:00,DTSZ10,333,2017-05-30T02:00:00.000+08:00,DTSZ10,124,2017-05-30T03:00:00.000+08:00,DTSZ10,111,2017-05-30T04:00:00.000+08:00,DTSZ10,104,2017-05-30T05:00:00.000+08:00,DTSZ10,170,2017-05-30T06:00:00.000+08:00,DTSZ10,571,2017-05-30T07:00:00.000+08:00,DTSZ10,1639,2017-05-30T08:00:00.000+08:00,DTSZ10,3904,2017-05-30T09:00:00.000+08:00,DTSZ10,3367,2017-05-30T10:00:00.000+08:00,DTSZ10,2115,2017-05-30T11:00:00.000+08:00,DTSZ10,2029,2017-05-30T12:00:00.000+08:00,DTSZ10,2464,2017-05-30T13:00:00.000+08:00,DTSZ10,2242,2017-05-30T14:00:00.000+08:00,DTSZ10,1642,2017-05-30T15:00:00.000+08:00,DTSZ10,1550,2017-05-30T16:00:00.000+08:00,DTSZ10,1334,2017-05-30T17:00:00.000+08:00,DTSZ10,1291,2017-05-30T18:00:00.000+08:00,DTSZ10,1345,2017-05-30T19:00:00.000+08:00,DTSZ10,1215,2017-05-30T20:00:00.000+08:00,DTSZ10,886,2017-05-30T21:00:00.000+08:00,DTSZ10,620,2017-05-30T22:00:00.000+08:00,DTSZ10,366
1,2017-05-30T00:00:00.000+08:00,NVSZ01,26175,2017-05-30T01:00:00.000+08:00,NVSZ01,3600,2017-05-30T02:00:00.000+08:00,NVSZ01,1072,2017-05-30T03:00:00.000+08:00,NVSZ01,922,2017-05-30T04:00:00.000+08:00,NVSZ01,873,2017-05-30T05:00:00.000+08:00,NVSZ01,1343,2017-05-30T06:00:00.000+08:00,NVSZ01,3069,2017-05-30T07:00:00.000+08:00,NVSZ01,6033,2017-05-30T08:00:00.000+08:00,NVSZ01,7479,2017-05-30T09:00:00.000+08:00,NVSZ01,6993,2017-05-30T10:00:00.000+08:00,NVSZ01,5612,2017-05-30T11:00:00.000+08:00,NVSZ01,5376,2017-05-30T12:00:00.000+08:00,NVSZ01,5706,2017-05-30T13:00:00.000+08:00,NVSZ01,5472,2017-05-30T14:00:00.000+08:00,NVSZ01,5404,2017-05-30T15:00:00.000+08:00,NVSZ01,5453,2017-05-30T16:00:00.000+08:00,NVSZ01,5338,2017-05-30T17:00:00.000+08:00,NVSZ01,6488,2017-05-30T18:00:00.000+08:00,NVSZ01,7707,2017-05-30T19:00:00.000+08:00,NVSZ01,7297,2017-05-30T20:00:00.000+08:00,NVSZ01,6118,2017-05-30T21:00:00.000+08:00,NVSZ01,4884,2017-05-30T22:00:00.000+08:00,NVSZ01,2610
