,agent_gender,agent_nationality,agent_year_of_birth,discrete_visit_planningarea,footfall,datetime
0,F,AUS,1967,AM,40,2018-02-21 00:00:00
1,F,AUS,1969,AM,40,2018-02-21 00:00:00
2,F,AUS,1972,AM,40,2018-02-21 00:00:00
3,F,AUS,1973,AM,40,2018-02-21 00:00:00
4,F,AUS,1983,AM,40,2018-02-21 00:00:00
5,F,AUS,1984,AM,40,2018-02-21 00:00:00
6,F,BRN,1985,AM,40,2018-02-21 00:00:00
7,F,CAN,1957,AM,40,2018-02-21 00:00:00
8,F,CHN,1952,AM,40,2018-02-21 00:00:00
9,F,CHN,1953,AM,40,2018-02-21 00:00:00
10,F,CHN,1955,AM,40,2018-02-21 00:00:00
11,F,CHN,1957,AM,40,2018-02-21 00:00:00
12,F,CHN,1958,AM,40,2018-02-21 00:00:00
13,F,CHN,1959,AM,40,2018-02-21 00:00:00
14,F,CHN,1961,AM,40,2018-02-21 00:00:00
15,F,CHN,1963,AM,40,2018-02-21 00:00:00
16,F,CHN,1965,AM,40,2018-02-21 00:00:00
17,F,CHN,1966,AM,40,2018-02-21 00:00:00
18,F,CHN,1967,AM,40,2018-02-21 00:00:00
19,F,CHN,1968,AM,40,2018-02-21 00:00:00
20,F,CHN,1969,AM,40,2018-02-21 00:00:00
21,F,CHN,1970,AM,40,2018-02-21 00:00:00
22,F,CHN,1971,AM,40,2018-02-21 00:00:00
23,F,CHN,1972,AM,40,2018-02-21 00:00:00
24,F,CHN,1973,AM,40,2018-02-21 00:00:00
25,F,CHN,1974,AM,40,2018-02-21 00:00:00
26,F,CHN,1975,AM,40,2018-02-21 00:00:00
27,F,CHN,1976,AM,40,2018-02-21 00:00:00
28,F,CHN,1977,AM,40,2018-02-21 00:00:00
29,F,CHN,1978,AM,40,2018-02-21 00:00:00
30,F,CHN,1979,AM,40,2018-02-21 00:00:00
31,F,CHN,1980,AM,40,2018-02-21 00:00:00
32,F,CHN,1981,AM,40,2018-02-21 00:00:00
33,F,CHN,1982,AM,40,2018-02-21 00:00:00
34,F,CHN,1983,AM,40,2018-02-21 00:00:00
35,F,CHN,1984,AM,40,2018-02-21 00:00:00
36,F,CHN,1985,AM,40,2018-02-21 00:00:00
37,F,CHN,1986,AM,40,2018-02-21 00:00:00
38,F,CHN,1987,AM,40,2018-02-21 00:00:00
39,F,CHN,1988,AM,40,2018-02-21 00:00:00
40,F,CHN,1989,AM,40,2018-02-21 00:00:00
41,F,CHN,1990,AM,40,2018-02-21 00:00:00
42,F,CHN,1991,AM,40,2018-02-21 00:00:00
43,F,CHN,1992,AM,40,2018-02-21 00:00:00
44,F,CHN,1993,AM,40,2018-02-21 00:00:00
45,F,CHN,1994,AM,40,2018-02-21 00:00:00
46,F,CHN,1995,AM,40,2018-02-21 00:00:00
47,F,CHN,1996,AM,40,2018-02-21 00:00:00
48,F,CHN,1997,AM,40,2018-02-21 00:00:00
49,F,CHN,1998,AM,40,2018-02-21 00:00:00
50,F,CHN,1999,AM,40,2018-02-21 00:00:00
51,F,CHN,2000,AM,40,2018-02-21 00:00:00
52,F,CHN,2001,AM,40,2018-02-21 00:00:00
53,F,CHN,2005,AM,40,2018-02-21 00:00:00
54,F,FRA,1977,AM,40,2018-02-21 00:00:00
55,F,FRA,1983,AM,40,2018-02-21 00:00:00
56,F,GBR,1975,AM,40,2018-02-21 00:00:00
