,agent_gender,agent_year_of_birth,footfall,staypoint_planningarea,datetime
,NA,NA,1917,AM,21/2/2018 23:00
4331,M,NA,184,AM,21/2/2018 23:00
1900,F,NA,95,AM,21/2/2018 23:00
4106,NA,1990,62,AM,21/2/2018 23:00
2117,NA,1989,57,AM,21/2/2018 23:00
1677,NA,1992,57,AM,21/2/2018 23:00
4548,NA,1994,53,AM,21/2/2018 23:00
477,F,1972,45,AM,21/2/2018 23:00
3885,M,1985,45,AM,21/2/2018 23:00
2336,M,1990,45,AM,21/2/2018 23:00
3444,M,1988,43,AM,21/2/2018 23:00
3218,M,1968,42,AM,21/2/2018 23:00
2554,NA,1986,42,AM,21/2/2018 23:00
4765,M,1970,41,AM,21/2/2018 23:00
2775,NA,1995,41,AM,21/2/2018 23:00
2993,F,1935,40,AM,21/2/2018 23:00
3661,F,1941,40,AM,21/2/2018 23:00
4976,F,1944,40,AM,21/2/2018 23:00
1452,F,1945,40,AM,21/2/2018 23:00
166,F,1946,40,AM,21/2/2018 23:00
5165,F,1948,40,AM,21/2/2018 23:00
81,F,1949,40,AM,21/2/2018 23:00
1237,F,1950,40,AM,21/2/2018 23:00
668,F,1951,40,AM,21/2/2018 23:00
1043,F,1952,40,AM,21/2/2018 23:00
1601,F,1953,40,AM,21/2/2018 23:00
1824,F,1954,40,AM,21/2/2018 23:00
4031,F,1955,40,AM,21/2/2018 23:00
3808,F,1956,40,AM,21/2/2018 23:00
849,F,1957,40,AM,21/2/2018 23:00
2040,F,1958,40,AM,21/2/2018 23:00
2260,F,1959,40,AM,21/2/2018 23:00
2479,F,1960,40,AM,21/2/2018 23:00
2921,F,1961,40,AM,21/2/2018 23:00
2699,F,1962,40,AM,21/2/2018 23:00
4253,F,1963,40,AM,21/2/2018 23:00
3141,F,1964,40,AM,21/2/2018 23:00
3588,F,1965,40,AM,21/2/2018 23:00
235,F,1966,40,AM,21/2/2018 23:00
233,F,1967,40,AM,21/2/2018 23:00
3368,F,1968,40,AM,21/2/2018 23:00
234,F,1969,40,AM,21/2/2018 23:00
4473,F,1970,40,AM,21/2/2018 23:00
232,F,1971,40,AM,21/2/2018 23:00
230,F,1973,40,AM,21/2/2018 23:00
231,F,1974,40,AM,21/2/2018 23:00
227,F,1975,40,AM,21/2/2018 23:00
229,F,1976,40,AM,21/2/2018 23:00
228,F,1977,40,AM,21/2/2018 23:00
236,F,1978,40,AM,21/2/2018 23:00
4689,F,1979,40,AM,21/2/2018 23:00
3958,F,1980,40,AM,21/2/2018 23:00
4179,F,1981,40,AM,21/2/2018 23:00
237,F,1982,40,AM,21/2/2018 23:00
226,F,1983,40,AM,21/2/2018 23:00
217,F,1984,40,AM,21/2/2018 23:00
1750,F,1985,40,AM,21/2/2018 23:00
238,F,1986,40,AM,21/2/2018 23:00
1378,F,1987,40,AM,21/2/2018 23:00
126,F,1988,40,AM,21/2/2018 23:00
129,F,1989,40,AM,21/2/2018 23:00
223,F,1990,40,AM,21/2/2018 23:00
125,F,1991,40,AM,21/2/2018 23:00
225,F,1992,40,AM,21/2/2018 23:00
4905,F,1993,40,AM,21/2/2018 23:00
396,F,1994,40,AM,21/2/2018 23:00
224,F,1995,40,AM,21/2/2018 23:00
1968,F,1996,40,AM,21/2/2018 23:00
127,F,1997,40,AM,21/2/2018 23:00
218,F,1998,40,AM,21/2/2018 23:00
215,F,1999,40,AM,21/2/2018 23:00
220,F,2000,40,AM,21/2/2018 23:00
222,F,2001,40,AM,21/2/2018 23:00
128,F,2002,40,AM,21/2/2018 23:00
1526,F,2008,40,AM,21/2/2018 23:00
43,M,1941,40,AM,21/2/2018 23:00
41,M,1942,40,AM,21/2/2018 23:00
39,M,1945,40,AM,21/2/2018 23:00
216,M,1946,40,AM,21/2/2018 23:00
221,M,1947,40,AM,21/2/2018 23:00
214,M,1948,40,AM,21/2/2018 23:00
3732,M,1949,40,AM,21/2/2018 23:00
2188,M,1950,40,AM,21/2/2018 23:00
219,M,1951,40,AM,21/2/2018 23:00
40,M,1952,40,AM,21/2/2018 23:00
213,M,1953,40,AM,21/2/2018 23:00
42,M,1954,40,AM,21/2/2018 23:00
44,M,1955,40,AM,21/2/2018 23:00
132,M,1956,40,AM,21/2/2018 23:00
211,M,1957,40,AM,21/2/2018 23:00
3067,M,1958,40,AM,21/2/2018 23:00
118,M,1959,40,AM,21/2/2018 23:00
133,M,1960,40,AM,21/2/2018 23:00
2847,M,1961,40,AM,21/2/2018 23:00
130,M,1962,40,AM,21/2/2018 23:00
124,M,1963,40,AM,21/2/2018 23:00
131,M,1964,40,AM,21/2/2018 23:00
3515,M,1965,40,AM,21/2/2018 23:00
4618,M,1966,40,AM,21/2/2018 23:00
123,M,1967,40,AM,21/2/2018 23:00
120,M,1969,40,AM,21/2/2018 23:00
239,M,1971,40,AM,21/2/2018 23:00
2408,M,1972,40,AM,21/2/2018 23:00
145,M,1973,40,AM,21/2/2018 23:00
2626,M,1974,40,AM,21/2/2018 23:00
122,M,1975,40,AM,21/2/2018 23:00
117,M,1976,40,AM,21/2/2018 23:00
212,M,1977,40,AM,21/2/2018 23:00
4400,M,1978,40,AM,21/2/2018 23:00
139,M,1979,40,AM,21/2/2018 23:00
3292,M,1980,40,AM,21/2/2018 23:00
50,M,1981,40,AM,21/2/2018 23:00
134,M,1982,40,AM,21/2/2018 23:00
59,M,1983,40,AM,21/2/2018 23:00
136,M,1984,40,AM,21/2/2018 23:00
210,M,1986,40,AM,21/2/2018 23:00
121,M,1987,40,AM,21/2/2018 23:00
137,M,1989,40,AM,21/2/2018 23:00
142,M,1991,40,AM,21/2/2018 23:00
209,M,1992,40,AM,21/2/2018 23:00
116,M,1993,40,AM,21/2/2018 23:00
208,M,1994,40,AM,21/2/2018 23:00
207,M,1995,40,AM,21/2/2018 23:00
45,M,1996,40,AM,21/2/2018 23:00
135,M,1997,40,AM,21/2/2018 23:00
138,M,1998,40,AM,21/2/2018 23:00
140,M,1999,40,AM,21/2/2018 23:00
144,M,2000,40,AM,21/2/2018 23:00
46,M,2001,40,AM,21/2/2018 23:00
52,M,2004,40,AM,21/2/2018 23:00
53,M,2005,40,AM,21/2/2018 23:00
119,NA,1935,40,AM,21/2/2018 23:00
240,NA,1937,40,AM,21/2/2018 23:00
147,NA,1939,40,AM,21/2/2018 23:00
47,NA,1940,40,AM,21/2/2018 23:00
141,NA,1942,40,AM,21/2/2018 23:00
36,NA,1943,40,AM,21/2/2018 23:00
56,NA,1945,40,AM,21/2/2018 23:00
38,NA,1946,40,AM,21/2/2018 23:00
49,NA,1947,40,AM,21/2/2018 23:00
